DOW,HOD,AHN,CMC,KWH,NDH,NLT,PMH,POH,PWH,PYN,QEH,QMH,RH,SJH,TKO,TMH,TSH,UCH,YCH
1,0,1.441742655,1.235055724,3.120567376,3.662613982,0.2431610942,2.867274569,2.131712259,5.320162107,3.003039514,3.83485309,2.196555218,1.537993921,0.03242147923,3.811550152,3.178318136,-0.2816616008,4.505572442,2.875379939
1,1,1.446339017,1.491474423,3.762286861,3.55667001,0.2286860582,2.803410231,2.162487462,5.589769308,3.06218656,4.007021063,2.117352056,1.363089268,0.03610832497,3.926780341,3.454363089,-0.222668004,4.575727182,3.002006018
1,2,1.537537538,1.760760761,4.054054054,3.312312312,0.3003003003,2.706706707,2.292292292,5.831831832,3.038038038,4.206206206,2.074074074,1.385385385,0.03503503504,4.071071071,3.60960961,-0.1801801802,4.668668669,2.951951952
1,3,1.488465396,1.72116349,4.125376128,3.754262788,0.3430290873,2.998996991,2.427281846,5.944834504,3.22668004,4.342026078,2.289869609,1.592778335,0.06118355065,4.368104313,3.682046138,-0.1614844534,4.810431294,3.005015045
1,4,1.551269036,1.880203046,4.396954315,3.640609137,0.3025380711,2.840609137,2.356345178,6.170558376,3.242639594,4.569543147,2.282233503,1.41928934,0.06395939086,4.45177665,3.775634518,-0.1421319797,4.96751269,2.962436548
1,5,1.648429585,1.985815603,4.58662614,3.439716312,0.2998986829,2.773049645,2.36372847,6.346504559,3.161094225,4.802431611,2.283687943,1.367781155,0.07396149949,4.530901722,3.856129686,-0.1296859169,5.126646403,2.933130699
1,6,1.707614213,2.063959391,4.684263959,3.191878173,0.2852791878,2.570558376,2.308629442,6.475126904,3.03857868,4.940101523,2.287309645,1.391878173,0.06395939086,4.598984772,3.820304569,-0.1299492386,5.163451777,2.578680203
1,7,1.751503006,2.098196393,4.588176353,2.992985972,0.2765531062,2.283567134,2.146292585,6.716432866,2.903807615,5.105210421,2.301603206,1.385771543,0.05310621242,4.509018036,3.856713427,-0.1563126253,5.260521042,2.086172345
1,8,1.726358149,2.015090543,4.73943662,2.88832998,0.1961770624,2.29778672,1.943661972,6.846076459,2.687122736,5.634808853,2.47082495,1.266599598,0.06237424547,4.428571429,3.812877264,0.5663983903,5.621730382,2.026156942
1,9,1.224242424,1.377777778,4.026262626,2.309090909,0.05151515152,2.213131313,1.150505051,6.697979798,1.824242424,5.816161616,2.214141414,0.9464646465,0.04444444444,3.797979798,3.474747475,0.7848484848,5.613131313,1.641414141
1,10,1.075604839,1.012096774,3.618951613,2.233870968,0.04637096774,2.074596774,1.046370968,6.20766129,1.423387097,5.351814516,1.969758065,0.8790322581,0.1048387097,3.100806452,2.928427419,1.045362903,5.33266129,1.571572581
1,11,0.964,0.739,2.253,1.888,0.088,1.821,1.028,4.949,1.199,4.158,1.448,1.004,0.158,2.193,2.441,1.155,4.266,1.279
